condition_label,medical_abstract
4,"Sodium sensitive and sodium retaining hypertension. The differences between sodium sensitive and sodium retaining hypertension were theoretically considered using a water tank model of body fluid volume-blood pressure regulation. If an outlet valve is attached to a tank with a base area corresponding to the reciprocal of total peripheral resistance (TPR) and water is poured into this tank at a rate corresponding to the amount of Na+ intake, then equilibrium should be achieved at a certain water level, volume and output from the outlet, which represent mean arterial pressure (MAP), cardiac output (CO) and urinary Na+ excretion. The height of the outlet from the tank bottom and the size cross-sectional area, of the outlet correspond to the x-intercept and slope of the renal function (pressure-natriuresis) curve, respectively. In both nonsodium sensitive hypertension, due to the shift of the curve toward a higher blood pressure level (elevated height of the outlet) without change in the slope (size of the outlet), and sodium sensitive hypertension, due to the depressed slope of the curve (reduced outlet size), not only MAP (water level) but also CO (water volume) are increased, resulting in sodium retaining hypertension, if TPR (reciprocal of base area) remained unchanged, while CO is relatively unchanged, resulting in nonsodium retaining hypertension, if TPR is elevated. Thus, the MAP and its sensitivity to sodium intake is determined by the renal function curve. Since body fluid volume is determined by both the renal function curve and TPR, however, changes in TPR during the development of hypertension is a major factor in determining whether or not the body fluid volume has to change only a small amount or a large amount. Therefore, the sodium sensitivity of blood pressure and sodium retention must be considered separately. "
1,"Imaging bone tumors in the 1990s. Progress in bone tumor management has occurred as a result of cooperation among surgeons, oncologists, pathologists, and radiologists. During the 1990s radiologists will contribute to care of patients with bone tumors in major ways. Tumor detection and preliminary diagnosis will be accomplished by radiography. Tumor local extent will be assessed by magnetic resonance imaging (MRI) and to a lesser degree by computed tomography (CT). Distant spread of malignancy will be documented by radionuclide scintigraphy (skeleton) and by CT (lungs). The combined estimate of local extent and distant spread will assure adequate staging before definitive management decisions. Preoperative closed percutaneous biopsy for histologic diagnosis will be accomplished on an outpatient basis under fluoroscopic or CT guidance. Arteriography will be employed for delivery of local chemotherapy. Some combination of arteriography, MRI, and MR spectroscopy will be used to evaluate tumor response. After limb-salvage surgery, MRI will sequentially assess the tumor bed; bone scintigraphy and CT will detect skeletal and pulmonary metastases. The radiologist's role will undergo continuous redefinition. "
5,"Closure of a bronchopleural fistula with bronchoscopic instillation of tetracycline. Persistent bronchopleural fistulas (BPF) due to infection, trauma, or thoracic surgical procedures are often difficult to manage. We report a patient with fulminant Staphylococcus aureus pneumonia complicated by chronic BPF formation which prevented weaning from mechanical ventilation due to severe air leak. Fistula closure was obtained by instillation of tetracycline into the fistula via a fiberoptic bronchoscope using a balloon catheter and blood clot occlusion technique. This closed the BPF and allowed successful weaning from mechanical ventilation. "
1,"Utility of frozen-section evaluation of lymph nodes in the staging of bronchogenic carcinoma at mediastinoscopy and thoracotomy. We conducted a retrospective analysis of the utility of frozen-section diagnoses in determining lymph node status at mediastinoscopy in 122 consecutive patients with bronchogenic carcinoma. Thirty-five of 122 patients had one or more lymph nodes with frozen-section evaluation positive for metastatic carcinoma. Subsequent nodal sections not in the original frozen-section study revealed metastatic carcinoma in two additional patients. The false-negative rate was 1.6%. Sensitivity was 94.6%. Predictive value of negative frozen-section evaluation results was 97.7%. Because there were no false-positive frozen-section results, specificity and predictive value for positive results of frozen-section evaluation were 100%. The statuses of individual lymph nodes from these 122 patients were also evaluated. Six hundred twenty lymph nodes were sampled from the mediastinum at mediastinoscopy. Frozen-sections in 47 lymph nodes were positive. Subsequent nodal sections not in the original frozen-sections examination revealed metastatic carcinoma in four additional lymph nodes. The false-negative rate was 0.6%. Sensitivity was 92.2%. Predictive value of negative results from frozen-section evaluation was 99.3%. Because there were no false-positive frozen-section results, specificity and predictive value for positive results of frozen-section examination were 100%. We conclude that frozen-section evaluation of lymph nodes at mediastinoscopy reliably indicates lymph node status, thus enabling the physician to decide whether to proceed to thoracotomy. Thus staging of the carcinoma and definitive surgery can be accomplished during a single anesthetic procedure. Combining mediastinoscopy and thoracotomy with frozen-section diagnostic control also reduces both the length and cost of hospitalization. "
4,"Antihypertensive drugs and glucose metabolism: comparison between a diuretic, a beta-blocker and felodipine, a new calcium antagonist in subjects with arterial hypertension and diabetes. Felodipine, a new antihypertensive calcium antagonist, was compared with metoprolol, a beta-blocker, and hydrochlorothiazide, a diuretic, with respect to glucose tolerance in a randomized double-blind cross-over study consisting of 11 patients, of age range 50-70 years, who had developed diabetes during antihypertensive treatment. Each treatment period lasted for 10 weeks. The blood pressure was similar irrespective of treatment. Serum glucose levels during the oral glucose tolerance test were significantly lower when the patients were treated with felodipine than when they were taking hydrochlorothiazide. Serum insulin levels appeared to decrease at an earlier stage of the test when the patients were treated with felodipine, the calcium antagonist, than with the other two antihypertensive substances, which suggests that glucose tolerance is impaired to a lesser extent during treatment with the calcium antagonist. Glucose tolerance was never completely normalized with any of the drugs tested. "
2,"Gallbladder perforation: correlation of cholescintigraphic and sonographic findings with the Niemeier classification. We retrospectively analyzed the cholescintigrams and sonograms of 36 consecutive patients with gallbladder perforation to (a) determine the sensitivity of each for the preoperative detection of gallbladder perforation and (b) correlate the findings with the modified Niemeier classification. Cholescintigraphic criteria of perforation (free spill, pericholecystic hepatic activity, and scintigraphic gallstone ileus sign) were detected in 14 of 28 (50%) cases, while sonographic criteria of perforation (pericholecystic fluid or pneumobilia with gallstones) were present in 18% (4 of 22) of patients (p less than 0.05). Cholescintigraphic patterns of perforation associated with the Niemeier classification were: Type I (acute free perforation), 3 of 7 scans demonstrated free spill; Type II (subacute pericholecystic abscess), 9 of 19 scans showed pericholecystic activity; and Type III (chronic cholecystoenteric fistula), 1 of 3 scans showed a scintigraphic gallstone ileus. Thus, although cholescintigraphy appears superior to sonography, both modalities are relatively insensitive for the detection of gallbladder perforation. "
1,"Left ventricular fibroma: echocardiographic diagnosis and successful surgical excision in three cases. The management of three patients with left ventricular fibromas is outlined. All were asymptomatic children. Routine chest radiography suggested cardiac masses. M-mode and two-dimensional echocardiography were valuable adjuncts to conventional angiography in assessing these children. Electrocardiographic changes, present in all cases, were shown to regress postoperatively. We stress the importance of these noninvasive aids in the initial investigation and outline our operative methods of reconstruction. "
4,"Tongue ischemia from a soft-drink can: report of case. A young girl was brought to the emergency department because her tongue became entrapped while she was drinking from an aluminum soft-drink can. A dental drill was used to remove the can. The tongue was observed for 48 hours, during which an ischemic area recovered spontaneously. "
5,"In vitro and in vivo effects within the coronary sinus of nonarcing and arcing shocks using a new system of low-energy DC ablation. DC shocks within the coronary sinus have been abandoned because of the risk of cardiac rupture and tamponade. Catheter ablation using DC energy to electrodes straddling the ostium of the coronary sinus, when used clinically, has been reported to result in cardiac tamponade in as many as 16% of patients. A new system of energy delivery maximizes voltage while decreasing the undesirable effects caused by barotrauma. This system includes 1) a low-energy ablation power supply with a brief time-constant capacitive discharge that delivers up to 40 J and 3,000 V and 2) a low-energy ablation catheter with a contoured distal electrode. We performed in vitro and in vivo studies of this new system and compared arcing shocks with nonarcing shocks. Ablations were performed using unipolar distal shocks (D) and unipolar shocks to both electrodes made electrically common (P-D). In vitro studies were done in a large tank filled with physiological saline while recording voltage, current, and pressure. High-speed cinematography (32,000 frames/sec) of shocks of 10-40 J permitted detailed analysis of the vapor globe. Anodal shocks of less than 20 J showed no arcing or only minimal vapor globe formation. For D and P-D anodal shocks of 40 J, the diameters of the vapor globe were 31 and 22 mm, respectively, corresponding to pressure recordings of 11 and 4.9 atm. The pressure rise lasted less than 50 mu sec. In vivo studies involved 18 dogs that received nonarcing shocks (one to six shocks of 15 J) and 18 dogs that received arcing shocks (one to three shocks of 40 J). Each group was divided between D and P-D shocks; catheter ablation was performed at a mean +/- SEM distance of 2.94 +/- 0.92 cm within the coronary sinus. All dogs tolerated the procedure without cardiac rupture or tamponade. When killed 2-4 days later, the dogs had edema and hyperemia or hemorrhage in the area of the coronary sinus. We compared the effects of multiple (three to six) nonarcing shocks with the effects of one to three arcing shocks. Disruption or rupture of the coronary sinus within the epicardial fat space occurred in two of 12 dogs (17%) with multiple nonarcing shocks but in 13 of 18 dogs (72%) with arcing shocks (p less than 0.003). Occlusion of the coronary sinus occurred in two of 12 dogs (17%) with multiple nonarcing shocks and in nine of 18 dogs (50%) with arcing shocks (p less than 0.06).(ABSTRACT TRUNCATED AT 400 WORDS). "
1,"Chondrosarcoma of the jaws: clinical findings, histopathology, and treatment. Three cases of chondrosarcoma involving the jaws are presented, one in the maxilla and two in the mandible. The salient points of clinical presentation elucidated by this series of cases are that a widened periodontal ligament space is present in chondrosarcomas as well as in osteosarcomas, and that a slowly increasing diastema may be the earliest clinical sign. The most important lesson to be learned from the histopathology is that one should not accept a diagnosis of a benign cartilaginous tumor of the jaws. Treatment of these lesions should consist of wide surgical excision and consideration of adjunctive or palliative radiotherapy, especially in the maxilla. It should also be noted that recurrences may develop 10 to 20 years later, and follow-up should be lifelong. "
5,"Ear involvement in the yellow nail syndrome. Recognized features of the yellow nail syndrome include yellow nails, lymphedema, and pleural effusions. We report a patient with the additional feature of keratosis obturans, which may be a manifestation of this syndrome in the external ear. "
1,A modified rhombic transposition flap and its application in dermatology. A modified rhombic transposition flap based around a circular primary defect is described. We have found it to be a versatile design that produces good cosmetic results with a low incidence of postoperative complications. It has become the most frequently used transposition flap in our dermatologic practice. 
5,"Hepatic injury associated with small bowel bacterial overgrowth in rats is prevented by metronidazole and tetracycline. Susceptible rat strains develop hepatobiliary injury following the surgical creation of self-filling blind loops that cause small bowel bacterial overgrowth. Luminal bacteria or their cell wall polymers were implicated in the pathogenesis of the lesions because sham-operated rats and rats with self-emptying blind loops, having only slightly increased bacterial counts, did not develop hepatic injury. In this study, antibiotics with different spectra of activities were continuously administered starting 1 day or 22 days after surgery to determine which intestinal flora may be responsible for the development of hepatic injury in rats with small bowel bacterial overgrowth. Four weeks following surgery, Lewis rats with self-filling blind loops receiving no antibiotics had elevated liver histology scores (8.2 +/- 1.3 vs. 0.7 +/- 0.4) and plasma aspartate aminotransferase levels (269 +/- 171 vs. 84 +/- 24) compared with sham-operated rats, P less than 0.001. Oral gentamicin as well as oral and intraperitoneal polymyxin B, which binds endotoxin, did not prevent hepatic injury in rats with self-filling blind loops. However, oral metronidazole and tetracycline therapy continuously administered beginning 1 day after surgery diminished hepatic injury (histology score 3.0 +/- 1.8, 2.9 +/- 1.1; aspartate aminotransferase 87 +/- 25, 98 +/- 34; respectively P less than 0.001 compared with self-filling blind loops receiving no antibiotics). Metronidazole also protected Wistar rats that require 12 weeks to develop hepatic injury following experimentally induced small bowel bacterial overgrowth compared with rats with self-filling blind loops that received no antibiotic treatment (histology score 10.4 +/- 1.3 vs. 0.7 +/- 1.1, and aspartate aminotransferase 273 +/- 239 vs. 76 +/- 20, P less than 0.001). When rats started metronidazole therapy 22 days after self-filling blind loop surgery, elevated aspartate aminotransferase values decreased to normal during the next 77 days and final histology scores were normal. All rats with self-filling blind loops had negative peritoneal, liver, spleen, and blood cultures but approximately 75% of mesenteric lymph node cultures were positive irrespective of antibiotic treatment. Because Bacteroides species have been implicated in causing vitamin B12 and disaccharidase deficiencies in rats with self-filling blind loops, we documented the presence or absence of these organisms from blind loops using selective culture techniques. Metronidazole and tetracycline eliminated Bacteroides sp. from blind loops, but polymyxin B and gentamicin did not.(ABSTRACT TRUNCATED AT 400 WORDS). "
1,"Clear cell adenocarcinoma of the vagina and cervix. A report of the Central Netherlands Registry with emphasis on early detection and prognosis. The Central Netherlands Registry (CNR) of women with vaginal or cervical clear cell adenocarcinoma (CCAC) was established in 1985. An overview is presented of clinical and pathologic data of 55 patients who were registered at the CNR until July 1, 1988. All Netherlands Departments of Pathology (NDP) maintain a patient registry and 95% of the Institutes are connected with a Central Archive via a computer network. The histologic slides and clinical status were reviewed at the CNR. Twenty-five tumors were classified as vaginal carcinoma and 30 as cervical carcinoma. The mean age of the patients was 22 years. Fifty-five percent of patients (63% of patients with known maternal history) were exposed to diethylstilbestrol (DES) in utero. The majority of cases was initially diagnosed after 1980. Cytologic examination before the initial histologic diagnosis indicated that cervical tumors were detected in 80% of cases, but vaginal tumors were detected only in 33% of cases. It was concluded that an examination of DES-exposed women should consist of colposcopic inspection of the cervix and vagina, cytologic examination of the cervix and four quadrants of the vagina, and careful palpation of the cervix and the entire vaginal wall. The most important prognostic parameter for patients with CCAC was stage and grade of nuclear atypia. The results of a statistical analysis showed that these features were the most effective to distinguish between nonsurvivors and patients surviving more than 5 years. "
5,"Polyneuropathy, ophthalmoplegia, leukoencephalopathy, and intestinal pseudo-obstruction: POLIP syndrome. We describe 5 individuals (from three separate families) with a progressive neurological disorder characterized by sensorimotor peripheral polyneuropathy, cranial neuropathies (external ophthalmoplegia, deafness), and the syndrome of chronic intestinal pseudo-obstruction. Magnetic resonance imaging showed widespread abnormality of the cerebral and cerebellar white matter in the 2 patients studied. Autopsy examination in 3 revealed widespread endoneurial fibrosis and demyelination in the peripheral nervous system, possibly secondary to axonal atrophy, and poorly defined changes in cerebral white matter (leukoencephalopathy). The cranial nerves and spinal roots were less severely involved and the neurons in the brainstem and spinal cord were intact. The fatal gastrointestinal dysmotility was due to a severe visceral neuropathy. We suggest that these patients manifested a hereditary disorder with distinctive clinical, radiological, and neuropathological features, and propose the acronym POLIP to emphasize the distinctive tetrad of polyneuropathy, ophthalmoplegia, leukoencephalopathy, and intestinal pseudo-obstruction. "
2,"Insulin resistance in noncirrhotic idiopathic portal hypertension. To explore further the pathogenesis of glucose intolerance and insulin resistance observed in patients with cirrhosis and portal hypertension, we studied a 35-year-old woman with presinusoidal portal hypertension without cirrhosis due to nodular regenerative hyperplasia of the liver. After oral glucose ingestion, glucose tolerance remained normal; however, this occurred at the expense of a markedly hyperinsulinemic plasma response, suggesting the presence of insulin resistance. To examine this question more directly, we performed a stepwise euglycemic insulin clamp study in combination with an infusion of [6-3H]glucose and [1-14C]palmitate and indirect calorimetry. The ability of insulin to promote total body (primarily muscle) glucose uptake was markedly impaired, whereas its effect to suppress hepatic glucose production was normal compared with results obtained in nine healthy subjects. Moreover, insulin failed to normally suppress plasma free fatty acid turnover and oxidation in this patient. This informative case demonstrates that portal hypertension alone, without hepatic dysfunction from cirrhosis, is associated with impaired insulin-mediated glucose and plasma free fatty acid metabolism and may also play a predominant role in the development of insulin resistance in many cirrhotic patients. "
3,"Effects of lactulose and lactitol on protein digestion and metabolism in conventional and germ free animal models: relevance of the results to their use in the treatment of portosystemic encephalopathy. Protein digestion and metabolism have been studied in laboratory rats and miniature pigs to investigate the mechanisms of action of lactulose and lactitol when used in the treatment of patients with portosystemic encephalopathy. Lactulose (beta-D-galactopyranosyl-(1----4)-beta-D-fructofuranose) and lactitol (beta-D-galactopyranosyl-(1----4)-D-glucitol) increased the excretion of nitrogenous material in the faeces and decreased nitrogen excretion in the urine in a similar degree to that reported for human patients. In studies with germ free rats given lactulose no such effect was observed, suggesting that, for lactulose at least, these effects are mediated by the gut flora. Measurement of the alpha-, epsilon-diaminopimelic acid content of the faeces confirmed that the enhancement of faecal nitrogen was due to an increased contribution from bacteria. The similarity in the results for lactulose and lactitol suggests that, from the perspective of protein metabolism, lactitol acts in a similar way to lactulose in the treatment of portosystemic encephalopathy. "
4,"Splenic artery aneurysm rupture [published erratum appears in Am J Emerg Med 1991 Mar;9(2):205] Splenic artery aneurysms are rare and usually asymptomatic. However, rupture can produce severe abdominal pain and prove lethal. Two cases of ruptured splenic artery aneurysm are presented. In one, cocaine injection occurred immediately prior to the onset of symptoms and may have precipitated the event. "
2,"Acute gastroenteritis in infants under 6 months old. Sixty two babies under the age of 6 months who were admitted with gastroenteritis completed a study of gradual refeeding compared with abrupt refeeding after a period of rehydration. There was no difference in the incidence of recurrence of diarrhoea due to lactose intolerance, effect on weight, or duration of hospital stay. Twenty six babies (42%) had recurrence of diarrhoea after refeeding, all of whom settled with the introduction of a lactose free soya based formula. Well nourished babies under 6 months of age with mild to moderately severe gastroenteritis can be fed immediately with full strength milk feeds after rehydration. The introduction of a lactose free soya based preparation may provide an alternative to repeated attempts at regrading with cows' milk feeds in those patients with lactose intolerance. "
1,"Dilatation in the duplex kidney: 3 unusual cases. Dilatation in the upper limb of a duplex ureter is usually secondary to obstruction and may be associated with a ureterocele. By contrast, vesicoureteric reflux is the usual cause of a dilated lower moiety ureter. We report 3 cases in which unusual or complex causes of dilatation of 1 limb of a duplex ureter were demonstrated. "
3,"Pregnancy in a patient with treated Wilson's disease: a case report. Pregnancy should have a successful outcome in a patient with treated Wilson's disease if complications are excluded before conception. Chelating treatment must be maintained, although there is some concern about its teratogenicity. We describe the course of pregnancy in a patient followed up in our department. "
4,"Dialysis-induced alterations in left ventricular filling: mechanisms and clinical significance. Quantitative two-dimensional (2-D) and Doppler echocardiography were used to determine whether hemodialysis results in alterations in left ventricular (LV) diastolic filling that might contribute to dialysis-induced hypotension, as well as to assess whether any hemodynamic variables or indices of diastolic filling might be used to identify which patients were at the greatest risk of becoming hemodynamically unstable during dialysis. Sixteen male patients undergoing routine maintenance hemodialysis for end-stage renal disease were prospectively studied before and after hemodialysis. Following hemodialysis there was a significant prolongation (P less than 0.05) in LV isovolumetric relaxation time (IVRT), as well as a significant reduction in the rate and extent of early rapid ventricular filling (P less than 0.005); in contrast, late atrial-assisted filling did not change significantly. A multiple stepwise linear regression analysis of predialysis hemodynamic parameters and noninvasive indices of LV filling showed that there was a significant independent inverse relationship between the frequency of dialysis-related hypotensive episodes and the duration of early LV filling (r = -0.81; P less than 0.001). These results suggest that hemodialysis results in discrete alterations in early LV filling, with no significant compensatory increase in late atrial-assisted ventricular filling. Further, patients with the shortest early LV filling times appeared to have the greatest predilection for becoming hemodynamically unstable during dialysis. "
5,"Ptychotropism as a cutaneous feature of the CHILD syndrome. The hallmark of the CHILD syndrome is a unilateral ichthyosiform nevus that displays a pronounced affinity for the body folds. For this phenomenon the term ptychotropism is proposed. The expression is composed from the Greek words ptyche (fold) and trope (a turning). It is concluded that the cutaneous lesions of the CHILD nevus are determined by two factors, lyonization and ptychotropism. The phenomenon of ptychotropism constitutes an additional argument to distinguish the CHILD nevus from the inflammatory linear verrucous epidermal nevus because the latter is not ptychotropic. "
1,"Microcystic adnexal carcinoma following radiotherapy in childhood. A 36-year-old man was treated by radiotherapy for tinea capitis many years before discovery of microcystic adnexal carcinoma (MAC). Because of patient's refusal of any surgical intervention, we were able to follow the natural course of this tumor for 13 years. This case emphasizes the typical slow development of (MAC). The implication of the association of MAC and radiotherapy are discussed. "
2,"Feasibility of digital teleradiology for imaging evaluation of patients with acute right upper quadrant abdominal pain. To assess the utility of a commercially available digital teleradiology system in evaluating patients with acute pain in the right upper quadrant, hard-copy images from 100 examinations (50 hepatobiliary scintigrams and 50 sonograms of the right upper quadrant) were digitized, transmitted via standard telephone lines, and viewed remotely on a video monitor. Video and hard-copy interpretations were then compared for degree of concordance. For the scintigraphic studies, hard-copy and video images were equal in demonstrating gallbladder and bile duct activity. Video images failed to depict the presence of bowel activity in one case. Gallstones were depicted equally well on hard-copy and video sonographic images. The video interpreters overestimated the presence of abnormal hepatic parenchyma and overlooked one case of right hydronephrosis. The video interpretations of the scintigrams and sonograms showed an overall error rate of 4%, comparable to the rate obtained when radiographs are interpreted remotely with digital teleradiology systems. "
